Title,Company,Location,Salary,Link
Full Stack (ASP) Dot Net Developer- Remote,New Wave Media,Remote,"$500 - $1,000 a week",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0APU0msbvLma20Vid-RFJDvRDSrAKCaIs9F41pK2ASyKwb0yhPWrZYkdux4rwjqPlJ0ZByRnTsIEA4EDmDilRBKB6EE198LNndzA6iWKYfOaWjEdv27wT8__dX76VZP8CmjA86Ds9AxWMuDaw7ZitfyiJz0xzK4KLFsHrSdnkmCNBVs7lTyyspxyheiHtewQk_CSN9ZEUHUVfJkIBsyF5_VrR5q1eNw-eR53fwaONNRF6IH4Xu_7YWrkS6UoWXVOcvUr6gKq4EIUksAYWPJh3IFq_xrHYSpuXMUaadHvo9KJNZbFExKKrGiqNuMvB_4dNKU08iRsG-VDgxnApgK7ARf0kTd3QYEsu-d-oFgCW4okpDYLKR3qX23YuUTnqtGqVrWnzkgfhi7MrEX4-ihEKMRRuvEE-9j19_EoaVessRYgVceAQ9oIozXpRMSHPGJaAD_D6J4_Xkwmh1z9vn8cBXvBNE1nq9dXoGMUgeRf5BLu-fGSldOML4OO8gHCdQnbADmCEcdlpcceomHT9sUxiHIUZcA7COsVtYs_O0usCtisMysagWijg1c2NodDBZF7x30ysaW5nAAPIHAw6vUtNKLENj2xSC_dTCq8Pzwn7n-qQ==&xkcb=SoCV-_M3JoRAzETepB0KbzkdCdPP&p=0&fvj=1&vjs=3
Senior Full Stack Developer,VeriCour,Remote,"$110,000 - $130,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BFJYRLp5hzzLtKF1Wy0RfU8iM2OE1a8wbCkEnQiuC1KQg_EK1QpWux7HeZOtxsUI9iCSeTTf7mjsrC7g_ASyabeXP5rzQg4iXQFk3aRE6SI0HLUDe8Rtd64sOhPJ46-TTA_jDmBfR3QjEIqWx_bt0eUBTIeI_lrmcRu6Ewojh-xaLdHjjfJ-4THgiNIRfKj53-Lg1MhWmEbrE92QvccDdc4Gio3FPVAaaG76OrO8l8eNxvgDDVYVWE74EPr2H4Cl3ACb2CBMtsv7mK8VcfwcevsOLLMi-Ier58Yuvw_kNKf2SBfrACNKswmPoZ_iY6GpqxnGk8JJwLmK5ntk65q5dWJe7HccKOMS4CUU96SqpONDij5WjKiZQ5Zgs1_Xm9YaE-Mc1myYLYTAMsDY-v965KphuJhKXGiSG2OWdAyTfFwrNefD999QOUHCl5A2jdmbkrW-ZHnRZnjX3-Wmk5tKXoZZ44tUyUrPdGQBKhfRoZONP2fnDPX_q-Dci2pl9_O92u_0llJZyJNMPUn8qqVwm8pR6ufVcJ_elejYS40KZyOzWDTfOKxH1HTIq2LfXb9PwaCPm9C4bypE25TQOSkrMJJ0RpKixHh1N0DJAWeP8oeZOzGIYJt8b_en1hG-Bucdo=&xkcb=SoAI-_M3JoRAzETepB0JbzkdCdPP&p=1&fvj=1&vjs=3
Lead Software Engineer - Full Stack,"Clinician Nexus, Inc",Remote in Arizona,"$110,000 - $184,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AQOO2nGXEzdXRlKe3mX09Q2JQr4aVzoa68DlPqi-1T2wu3km_1a1vExieNNY0E0bX3l9GQ9DBBuBN4oOAO2B_rGSBDKFCY9trTXvDgbPFWMEdqdJvLx9SbykdMj_zsX7CD1U2j7W9zmxwlnbzlaQeP-UWCac_Ls8yUwh9hgiHxjrIEepWT1cZ_xL94olRSSEsuKtYzfYRI0RW0v6vAJzi45WA30DAIhkAG17p-lDx03y_g5HGqfwaxFKhH2AIY5gzoHzVIe0dGoda2_YMr03o38w6dl157arHOozqAGd3P73-CSvdLcW1Gq_xCbM3iCcLusQw2uH_jZZILPgRqCPbr51bZjuaCg8tIbhoMhfvs5vYxDXMMLKBWLMjN0INGoP-twyvqWZ1SR1oJZlx98cT3PV07xgZzXcfpc2eyxNg71Y3AUSyJGIsO_2OMacDVvCO11oynXwLE4rl6grg3h2rz76nsTlnexgYD6KvNixgCGDZOb6RBEaJb5OSl5riuPcRzktV_bjkPah5WaW806Ku6TT4NeOcWRewmdKUiXz0ckfuftW5y4k11hNWnFjvfjD1pl510upEt5-Vb-QDfAXrbFLrEiRXIZYtGZre4AWejWROiVrSqSpqJpEI2_PDFACu3a2yWURXdKJjR6yuacH8u69VqZq4oOigC6zVnTsTSYmuk7IljSIqTHAf-N42ZdDkHgSQF7EfAgJUSQdTlxsEdBgURZ-m3GO4OpEPR8buVv3rWckvgquqQcVXq9e65Lb54349KQnTDMsfB8O9fjRcJNavPlZI9xLBlOLBoJAKTUPot8IhJ0YAzhupbmzjry-nRC6nrqezTkMIZQYpISZxjvtKpWakaSFCtpgrwRgVRr-ZOr4Ltyf0Arrp0F_AiyKT706UjVNbow8YkYMYQS_P1HHO4wgJ-Kb5ST9kMgk1Gaw==&xkcb=SoC8-_M3JoRAzETepB0IbzkdCdPP&p=2&fvj=0&vjs=3
Full Stack Developer - Mid-Level,WeLibrary / Learning Economy Studios,Remote,"$87,000 - $93,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A7Fn51UxZyeyfewmqlHHZNkBVRhcqspT3XUr14akXEpWsm3xtLFlXs-NRVL5DO-fHgNdOP3ciEICj0RWGrsVs7U_w7Vfv30D_F2T1PC63RKJT9uMnj5ij_zW4duCTh39ynwbKXf83zzQlj0ALgFlU5UNTr3jhj7v_Nu2EiUBFKRNgerLln1pZyBqRLrAdmw3y0SRAI4z8C4iBzQ__JBwLGB44pOzsQdGuH3D7XnC0c6QdjlkVbAIflwgWgYghYRjQyNo3sKHhpnjeoVTdzicmWIFDBYZf7CR0wLj7EDftm1wSetHQyfif5TrvMt2NkAQOptZ6amCp47p5Woh429V1aeYqM0793F2aEqTwwS0cXXj2FNTszHBMyjQlbMMg6nEsbTOLbhdgY6s7MnYtP5O1aYLBR5x1L7OkERDwb7sgvCUWTDqLvyfWnUh5VhoCDAOpseo9LhP8XDpmHgo-g21o8M4MMgid9R-5hHbLrP-x33GQ0CQBohXBLs0n8yKm6ATeTS57vO8qRqDkgGu1cNF4SAJ7fccCdWLTtUAhqdRJ_fQ6GosUzXwFbkFaBc_9s9AMKl_NIsuglfliM8_EIXtJ9cgw-A3gv4qM=&xkcb=SoAy-_M3JoRAzETepB0PbzkdCdPP&p=3&fvj=1&vjs=3
Full Stack Engineer,"Mr Cool, LLC","Hickory, KY 42051","$75,000 - $100,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CvhPi49J17uVuAkBCV9z3YX3QvbGCpDWPZ-oNR_v4QjMETpmxAdlfLrBM2hSDzMokjP6BOT1SDFKr1soOVdVbktcQ0hNK6SsAkaC30_c1tsayxeRpvIJuwapz2FPOnUIklSjIGcj9lo1ukkfcDD2RxJ3uUNJj-e9RiahrvzPpEn3tRc5A6GbjG_GSLwyFEWQgEzesWgH2NnIZz-FBm5wWYx82AerpZstyJ0cJ_blJtXR9jbpuEvfCBaELnQuCogQZp1JltVYuSQUtwsxvwtsojvC3CwsZwr2aoLrh5gx3Vn2stNtKybvojh9fR2plGUEgTqAdOcsuGGv8O6epKXp1u-Wv3WYP5oZBWR-chNfSAdgqXWPC6XQ9-mDtKsAcTVONU__Lh6FiIfWd8eeBHfhSJmWhDs2kJ_OQqTOcaJjp8HEwZxSfGuxXZjQYPw_zq5piTGeVlQLF7b_xZH4ff9XPlkha8UH-LXAcYxDaZ5XFKd8jjaNUjTkkbRPslNy_pB_wavk8nK77F4All1s1v5DrxG4QDFofItUSdKF_-ZNGZBSjdsxwdU4fOZ0-lXlKONMSH1aLJjnpE5lZjDwrR74aZdYQle9iaHhXpwmmHUbZy22lTU4TSzmK_&xkcb=SoCG-_M3JoRAzETepB0ObzkdCdPP&p=4&fvj=1&vjs=3
Full Stack Website Developer,Zoek Marketing,Remote,"$85,000 - $110,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_hrJunnnFDqJnimiL7r0RO7FR9lhj1eK2S5OpUm6BaDYga9krGLvUHyE5BippL4bw4_02jfYtei78vZB2eX-bKt8e-DOQNEWGfYfhZexcy3HHOsckyhgfj2H96rOkdKqQts665zBczQDaGVjh4pdHIveE_TvyNSA487YoT3IEc1nosf50eWaK6WUAnnXzfbBgPy5NSS2JP0zQ5il4UaKcY-h0G2_VsDB27I2uYA9RiJ6ihxlIQqf8ViUlGMh42ZU27AP0QdFCN6LuMFvpCsnH2cHW6-2B7JhfkLA_9-68LakQxlTdrX8a-8Fb6xlp5yIRiiZvsncs6gbQJ4TftK0-zjSxG2NHqc2c2AaJZGn1rNZ2RYrNEaQUT5dpUSXdy9T1tLY31SMyxlFwReJK3tCQ2Ytuz5eLU3Eqqz-44QNKMxgO5STMO3TdoYm9fmpSXqjVncxVp3MRF2BGL9PehwQjvQbmzXaycd57VcB2QMZgcPHq5HMBYdIhdqFf74D2Xp5dITeSxFj_mFpTGWBID5dEBKVJr7vT8aae2AnVhrdzp1kZAEgsizUxQheP7TRactixV1RjgwU_KALFCY9g0H68qnluZC3Szf6_qTQPZnjyJQ==&xkcb=SoCv-_M3JoRAzETepB0MbzkdCdPP&p=6&fvj=1&vjs=3
Sr. Principal Full Stack Software Engineer (Secret Clearance) (AHT),Northrop Grumman,"Manhattan Beach, CA 90266","$129,700 - $194,500 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CwZXc5kaVZcDIejlzrQt6xuDzFCT1LgXJr1Wz7yprErqiSSQFSRu7dAdnpOTZy8C743slMRVqUNReiqJBRqZruA5iTX9mBxtAohiW3-LhCehZ6N2l6bKcquosNTE5jU46GTMLBagrHmM-k_Yy2dJH2_tOPyoLffvweuoI8mzZa61-J2RFLbbw9OEos0hOC0RpmUVpsacA7P7NLhi8VQgPYrZFF-NlCn_EO7Yyy_phDFtK4bT7U2uOtRNyxwfaNFvjmrLjwNHXWCikOxXxPG2qLL_aSeZOQUk76NByydgh1AIMeCn1iuxvtYkiAXPMP1AVz3XQiCuCFgSAWazhwpKCbHkTP3eT3dr8vb0xAi4Uhv1tWz6GV4tuTYYg6LWVClgQyA04ankXVixPO74dsYvYiqSLTmPZG0mtmKP4UH5uxeHshjNQdll82HtyCQ4EYYjryoVFtD0LYk62z6LNN3OJ1taQZotAALfF4Qaz4i3dTdLy5MZxrYNPsBd_YkL6wQ5K8pOXRPMNS0WJcd0lqUJGkD4LrAboioQuJ4AMjYsdyvClmGgSWSb6wGksgBhj2qgx-Zs20m0ifq5njuh-jmCs4BSP536TlB61aLJJFFLc6tHJuRDMKFSn3knscwYJBDRSeGQtBypsl1JmekH32t9XlMJjGeIZuJ5HZPg1uoP-zyRhW860cRp7064tNYE503c9juaALCJGR7BvLpJPiG_aWNcvX4cQ7hiC2G-9-KlCJFh6KI47m-oFwLPLQSTjU6pcfj6QGRb0_uWyY1gCK6aX-7dfIQO82AXlzmdWYFz2rSc1UPdtBholFEEUJ1Ie6n1Tf4chEOk-0TAbxXAqqgQw4S5rjgAWoTuJpMibgUPAM-djGtouXhPHT0E0O6R66rEIVeeqtPWfX7R02fC8-gJqd0IkTMr0U72Rpgcjr9jh7ht_g2A_8qYt8CSJSzG3uGdBJ5l1XjlzJtNZPUySPzEfTBvWVauvmgElqMhWaSu05RQs29m4om_FCkgYkQZPLu5sV9KTEUIM4CnervVyTUAHqoIml9LMxBbR91WuMgwNoWzsH-swFJeBs8ufp1b3SUN7Iv5RsW29b1gszH844yNXX0fmvvS4oKJoxG6IyTlqsvWPSk9MtVxFA6APlVnky3whJBgmdBkU9cKAD1FkQIAkOAsS-kzNgvj2oueZ49tABLjhgXZNITlJQxdxUK5dTak7aJOU11uAeNNtLZDyFAGryHOf2wqPZoaVTG9IlBNXO-obEM8inBNQPv3ij18rWGs_XddNez2MRoSitpV1oNlcgxi53pgM4-BIIwpp0xnUjuTnTTSqBnT6YF8wtoo3MmYyoHDqyqqyZJg==&xkcb=SoBv-_M3JoRAzETepB0BbzkdCdPP&p=9&fvj=0&vjs=3
Full Stack Developer,Northeastern University,"Remote in Boston, MA 02115","$98,800 a year",https://www.indeed.com/rc/clk?jk=3786d1232f496575&fccid=a9383e8362da1c50&vjs=3
Full Stack Developer,Presbyterian Healthcare Services,"Remote in Albuquerque, NM 87113",Up to $44.49 an hour,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dqy6yjUoJnVWMdwCtv4xKWw_iAl9PLMfmqWK1fh3aXAm4cXvGWSTf9yZJXlv8a9xGvWdsz981wLB_7GT8rIKmCa0qA3WClqtItj66xcIxFb7XUWUY43mHHBOcR3oVvtVODpi9KXvbp5dK2hc0cWXcuK_VBWPCwy6kXDYI2eaMma4ellPFa0HwyP5w0Y0MEOPhRvhp5s-YrMARtWKsXHBkXAEOfhf_NDqwO-y3j77khtXPQeLDfj-w7aYLfhDLV3jgQT4rwr1MyjTLxlF_sOXLqB5s04_rD146etNhWqDgXhkZNwaFWu7IBT6p08Jy-E19bBJMTVKqBXmweTQ_pZFDMv3aOeXiUYS16-1e8PDjPtwMK7DCiaGD5kmFmi0bRClgoCrxzud5fVl9vjkUuoazonBEBuvUL3vK8SF6df83P9kgze3qUhMu-1QoecPY7YQ77EjB15p8j4Sm8eIczelX-by9wVB1dHZldgBvcbnGGOX1C5JKCPFDyXEHspFWIjDKfo7lWLMecL0e8cqxPHeSanWz7zYbskWgNANcTHAkxEMxSGBynFcsk-BDXWLxUhaMfDZhjCzobROctM0ez7ptW9hOFCFn9NAcDWDB3gwXo_0NB3seasSIKd3DEwyFb7hhBqRdunxIva7NzHWptL8nV_Y4bBBi7mz2rRREW7ZwO4c54NHfwE2r3wSG410bvkW3rprz0iP5I5nHY0gxKjvvW7Iq9iBbNHHxdT0W2tFKK-08_1snfF-RUewY0GXVzIszKolULv5rTxLlQjelCW3Ft0yj7g9rCyRw1OB59qL0dnIL-1D8YMai51Egcklf5et2hvb4KTiSRUwH-XwJiHP1DF34vJIwQQUlAmUg1XhNYGbOqwP2uEI0dkj90Y5UffJXWqkd9EuhKct2ytIiSwHAYhUsXwHmwX-N5VBrZFGKROxP2y3Xfn9WgeGdJSr5chR7sqRwCp67f5krvXtJor3dp6TrBsB1h1IHxav-KymkefA==&xkcb=SoBi-_M3JoRABuy-JB0LbzkdCdPP&p=0&fvj=0&vjs=3
Senior Full Stack Developer(Java/Vue),Strategic Employment,Remote,"$140,000 - $180,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AKWvSE4sqLrvmChH3oy7SyLhGz62xmrQXLRHvtrs5R_Y69W66yYKFVmA8e7QaSssIb_4JjzfoLeYHcuFn0VCPAsdqk-0C4G-BaltawGELUcu2uXBjXHlf_fJmP868W_KqkgBZ79XvytPzndJXgNuQvLi7evrZ12zpEwQ_eWx7jSKQvLaard5O-ETT6vqPbESqqYeG70ItErgsC60t7bfl7Jnu-Iu5AmizLRZsPT8HRFXPWmzl-RN1fQPPxiOA-Z1bXbRqtr6cNIQs1IA8p09KRktgUGPTFBlN6reD1p2P992YSoToCnUruWgB19ATdwLJjZZKoRvZNFe2UwqfyWevIr2ZuUAHLnmOq04zA-yeT6oR2qiVF32XpWtdEqyXVUTS18rbOclygDITRQMsRjQAFI_LO-ZW_kLw3UgKEhguoILVyrNBAq8VuwDEEX3Cw53ktqr8cw46JAHjA4GZ15FZMyqRl81N1iurcQ8wb6QXOCDrETMaEsAx9MrynizaKRTv1rjATlyuRnrldAN9szPF2xh7TuqaAaKKJue46d74uI5YWMGTJI9VaiwqXm4XgtnuM9LcAN_aA3vXHEUN_kzRKx9YbkTb6fqr_FH9RvlOpIewwf37vQkvBSHWzwtj1sXNC5FQi8Z9VjDKk1pRAGbN6sXG2bwGz2zgx41Bnbs6Qow==&xkcb=SoDW-_M3JoRABuy-JB0KbzkdCdPP&p=1&fvj=0&vjs=3
